Date.Sampled,Sample,Rep,750A,665A,750B,665B,chla
9/8/2017,H,B,0.001,0.003,0,0,-2.86
9/8/2017,H,C,0.001,0.003,0,0,-2.86
9/8/2017,So,A,0.001,0.005,-0.001,0.001,-2.86
9/8/2017,So,B,0.007,0.026,0.001,0.032,17.16
9/8/2017,So,C,0.004,0.007,0,0.003,0
9/8/2017,Sh,A,0.002,0.005,0,0.003,0
9/8/2017,Sh,B,0.002,0.007,0,0.004,-1.43
9/8/2017,Sh,C,0.002,0.006,0,0.005,1.43
9/8/2017,F,A,0.006,0.057,0.001,0.075,32.89
9/8/2017,F,B,0.001,0.006,0,0.001,-5.72
9/8/2017,F,C,0.008,0.004,0,0.002,8.58
9/8/2017,T,A,0.005,0.026,0.001,0.027,7.15
9/8/2017,T,B,0.006,0.08,0.002,0.125,70.07
9/8/2017,T,C,0.002,0.028,0.001,0.046,27.17
9/8/2017,Cr,A,,,,,
9/8/2017,Cr,B,,,,,
9/8/2017,Cr,C,,,,,
9/12/2017,H,A,0,0,0,0,0
9/12/2017,H,B,0,0.001,0.001,0,-2.86
9/12/2017,H,C,0.002,0.054,0.002,0.076,31.46
9/12/2017,So,A,0.002,0.008,0,0,-8.58
9/12/2017,So,B,0,0,0.001,0,-1.43
9/12/2017,So,C,0.009,0.034,0.003,0.02,-11.44
9/12/2017,Sh,A,0.006,0.023,0.002,0.006,-18.59
9/12/2017,Sh,B,0.006,0.012,0,0,-8.58
9/12/2017,Sh,C,0.001,0.004,0.002,0.004,-1.43
9/12/2017,F,A,0,0.001,0,0,-1.43
9/12/2017,F,B,0.002,0.029,0.001,0.039,15.73
9/12/2017,F,C,0,0,0,0,0
9/12/2017,T,A,0.004,0.031,0,0.017,-14.3
9/12/2017,T,B,0.004,0.033,0.001,0.043,18.59
9/12/2017,T,C,0.002,0.018,0.001,0.015,-2.86
9/12/2017,Cr,A,0.002,0.001,0,0,1.43
9/12/2017,Cr,B,0.002,0.002,0,0,0
9/12/2017,Cr,C,0.001,0,0,0,1.43
9/15/2017,H,A,-0.0022,0.015,0.001,0.033,21.164
9/15/2017,H,B,-0.0035,-0.0018,0.0006,0.0039,2.288
9/15/2017,H,C,-0.0006,0.0187,0.0026,0.0209,-1.43
9/15/2017,So,A,0.0018,-0.0004,0.0002,0.0005,3.575
9/15/2017,So,B,-0.0011,-0.0044,0,0.0016,7.007
9/15/2017,So,C,-0.0029,-0.0057,0.0002,0.0004,4.29
9/15/2017,Sh,A,-0.0024,-0.0048,0.0011,0.002,4.719
9/15/2017,Sh,B,-0.0038,-0.006,0,0,3.146
9/15/2017,Sh,C,0.0018,-0.0007,0,0.0004,4.147
9/15/2017,F,A,-0.0039,-0.0065,0,0.0011,5.291
9/15/2017,F,B,0.0024,0.001,0,0.0004,2.574
9/15/2017,F,C,-0.0007,0.0198,0.001,0.0331,16.588
9/15/2017,T,A,0.0035,0.0061,0.0032,0.0095,5.291
9/15/2017,T,B,-0.0016,0.0162,0.0032,0.0371,23.023
9/15/2017,T,C,-0.0032,-0.0055,0.0013,0.0027,5.291
9/15/2017,Cr,A,0.0011,-0.0018,0,0,4.147
9/15/2017,Cr,B,-0.0002,-0.0033,0,0,4.433
9/15/2017,Cr,C,0.0013,-0.0017,0.0004,0.0006,4.576
